date,prcp_mm
2025-01-01,8.8
2025-01-02,0.0
2025-01-03,0.0
2025-01-04,0.0
2025-01-05,0.0
2025-01-06,1.6
2025-01-07,0.0
2025-01-08,0.0
2025-01-09,0.0
2025-01-10,0.0
2025-01-11,1.9
2025-01-12,0.0
2025-01-13,0.0
2025-01-14,0.0
2025-01-15,0.0
2025-01-16,0.2
2025-01-17,0.2
2025-01-18,2.2
2025-01-19,3.7
2025-01-20,4.9
2025-01-21,0.1
2025-01-22,0.2
2025-01-23,0.0
2025-01-24,0.0
2025-01-25,0.0
2025-01-26,0.0
2025-01-27,0.0
2025-01-28,0.0
2025-01-29,0.0
2025-01-30,0.0
2025-01-31,4.4
2025-02-01,5.6
2025-02-02,0.0
2025-02-03,2.2
2025-02-04,0.0
2025-02-05,0.0
2025-02-06,9.7
2025-02-07,0.0
2025-02-08,0.0
2025-02-09,12.5
2025-02-10,0.0
2025-02-11,0.1
2025-02-12,4.5
2025-02-13,7.2
2025-02-14,0.0
2025-02-15,2.6
2025-02-16,25.0
2025-02-17,0.0
2025-02-18,0.0
2025-02-19,0.0
2025-02-20,0.4
2025-02-21,0.5
2025-02-22,0.0
2025-02-23,0.0
2025-02-24,0.0
2025-02-25,0.0
2025-02-26,0.0
2025-02-27,2.1
2025-02-28,0.0
2025-03-01,0.0
2025-03-02,0.0
2025-03-03,0.0
2025-03-04,0.0
2025-03-05,9.7
2025-03-06,31.8
2025-03-07,0.0
2025-03-08,0.0
2025-03-09,0.0
2025-03-10,0.0
2025-03-11,0.0
2025-03-12,0.0
2025-03-13,0.0
2025-03-14,0.0
2025-03-15,0.1
2025-03-16,0.4
2025-03-17,27.3
2025-03-18,0.0
2025-03-19,0.0
2025-03-20,0.0
2025-03-21,18.8
2025-03-22,0.1
2025-03-23,0.0
2025-03-24,13.0
2025-03-25,0.0
2025-03-26,0.1
2025-03-27,0.0
2025-03-28,0.0
2025-03-29,4.4
2025-03-30,0.8
2025-03-31,19.7
2025-04-01,23.2
2025-04-02,0.0
2025-04-03,2.9
2025-04-04,6.9
2025-04-05,3.3
2025-04-06,4.4
2025-04-07,8.1
2025-04-08,0.0
2025-04-09,0.0
2025-04-10,0.3
2025-04-11,7.3
2025-04-12,21.0
2025-04-13,0.0
2025-04-14,0.0
2025-04-15,2.0
2025-04-16,0.1
2025-04-17,0.0
2025-04-18,0.0
2025-04-19,0.6
2025-04-20,0.0
2025-04-21,0.0
2025-04-22,0.4
2025-04-23,0.0
2025-04-24,0.0
2025-04-25,0.0
2025-04-26,14.2
2025-04-27,0.1
2025-04-28,0.0
2025-04-29,0.0
2025-04-30,0.0
2025-05-01,0.0
2025-05-02,2.1
2025-05-03,10.5
2025-05-04,8.4
2025-05-05,13.2
2025-05-06,21.8
2025-05-07,0.3
2025-05-08,1.3
2025-05-09,16.2
2025-05-10,0.0
2025-05-11,0.0
2025-05-12,0.0
2025-05-13,2.0
2025-05-14,25.8
2025-05-15,3.6
2025-05-16,0.5
2025-05-17,1.9
2025-05-18,0.3
2025-05-19,0.0
2025-05-20,0.0
2025-05-21,2.5
2025-05-22,22.2
2025-05-23,2.9
2025-05-24,0.6
2025-05-25,0.0
2025-05-26,0.0
2025-05-27,0.0
2025-05-28,4.3
2025-05-29,8.6
2025-05-30,2.9
2025-05-31,26.4
2025-06-01,0.0
2025-06-02,0.0
2025-06-03,0.0
2025-06-04,0.0
2025-06-05,0.0
2025-06-06,0.4
2025-06-07,6.9
2025-06-08,0.7
2025-06-09,6.4
2025-06-10,21.6
2025-06-11,0.0
2025-06-12,0.0
2025-06-13,0.1
2025-06-14,4.5
2025-06-15,3.9
2025-06-16,2.5
2025-06-17,15.5
2025-06-18,9.0
2025-06-19,8.9
2025-06-20,0.9
2025-06-21,0.0
2025-06-22,0.2
2025-06-23,0.0
2025-06-24,0.0
2025-06-25,0.4
2025-06-26,0.0
2025-06-27,0.0
2025-06-28,1.9
2025-06-29,0.0
2025-06-30,0.3
2025-07-01,9.2
2025-07-02,4.1
2025-07-03,1.0
2025-07-04,0.0
2025-07-05,0.0
2025-07-06,0.0
2025-07-07,4.0
2025-07-08,12.9
2025-07-09,1.5
2025-07-10,16.1
2025-07-11,0.8
2025-07-12,0.1
2025-07-13,0.1
2025-07-14,17.3
2025-07-15,7.6
2025-07-16,1.8
2025-07-17,7.9
2025-07-18,0.0
2025-07-19,0.0
2025-07-20,1.1
2025-07-21,0.0
2025-07-22,0.0
2025-07-23,0.0
2025-07-24,0.0
2025-07-25,4.2
2025-07-26,0.0
2025-07-27,5.0
2025-07-28,0.5
2025-07-29,0.0
2025-07-30,2.3
2025-07-31,8.9
2025-08-01,3.0
2025-08-02,0.0
2025-08-03,0.0
2025-08-04,0.0
2025-08-05,0.2
2025-08-06,0.1
2025-08-07,1.1
2025-08-08,0.0
2025-08-09,0.0
2025-08-10,0.0
2025-08-11,0.0
2025-08-12,0.0
2025-08-13,5.3
2025-08-14,2.7
2025-08-15,0.0
2025-08-16,3.3
2025-08-17,2.1
2025-08-18,1.4
2025-08-19,0.0
2025-08-20,3.3
2025-08-21,0.4
2025-08-22,0.0
2025-08-23,0.0
2025-08-24,0.2
2025-08-25,0.0
2025-08-26,0.0
2025-08-27,0.1
2025-08-28,0.0
2025-08-29,0.0
2025-08-30,0.0
2025-08-31,0.0
2025-09-01,0.0
2025-09-02,0.0
2025-09-03,0.0
2025-09-04,1.9
2025-09-05,6.2
2025-09-06,19.4
2025-09-07,25.3
2025-09-08,0.0
2025-09-09,0.0
2025-09-10,3.2
2025-09-11,0.0
2025-09-12,0.0
2025-09-13,0.1
2025-09-14,0.0
2025-09-15,0.0
2025-09-16,0.0
2025-09-17,4.0
2025-09-18,0.1
2025-09-19,0.0
2025-09-20,0.0
2025-09-21,0.0
2025-09-22,0.0
2025-09-23,0.5
2025-09-24,9.6
2025-09-25,54.7
2025-09-26,0.2
2025-09-27,0.0
2025-09-28,1.1
2025-09-29,0.0
2025-09-30,0.0
2025-10-01,0.0
2025-10-02,0.0
2025-10-03,0.0
2025-10-04,0.0
2025-10-05,0.0
2025-10-06,0.0
2025-10-07,0.0
